asset_id,asset_name,asset_type,owner,department,criticality,criticality_score,operating_system
AST00320,HR-RTR-0065,Router,Joshua,HR,Medium,0.5,JunOS
AST00321,ENG-DB-0091,Database,Edward,Engineering,Medium,0.5,Windows Server 2022
AST00322,HR-LAP-0063,Laptop,Pamela,HR,Low,0.25,macOS Sonoma
AST00323,LEG-DB-0075,Database,Sean,Legal,High,0.75,Ubuntu Server 22.04
AST00324,IT-IOT-0104,IoT Device,Jennifer,IT,High,0.75,Embedded Firmware
AST00325,ENG-DB-0079,Database,Kim,Engineering,High,0.75,Windows Server 2022
AST00326,IT-MOB-0088,Mobile Device,Robert,IT,Medium,0.5,Android 14
AST00327,SAL-SRV-0051,Server,Shawn,Sales,Critical,1.0,Windows Server 2022
AST00328,LEG-SW-0099,Switch,Stacey,Legal,Medium,0.5,Cisco IOS
AST00329,LEG-MOB-0090,Mobile Device,Matthew,Legal,High,0.75,Android 14
AST00330,FIN-SW-0070,Switch,Michael,Finance,High,0.75,Arista EOS
AST00331,IT-PC-0025,Workstation,Sierra,IT,Critical,1.0,Windows 10
AST00332,ENG-PC-0059,Workstation,Denise,Engineering,High,0.75,Windows 10
AST00333,OPS-PC-0016,Workstation,Melissa,Operations,Critical,1.0,Windows 11
AST00334,FIN-DB-0023,Database,Amy,Finance,Low,0.25,Oracle Linux
AST00335,ENG-MOB-0122,Mobile Device,Antonio,Engineering,High,0.75,iOS 17
AST00336,LEG-SW-0062,Switch,Richard,Legal,Low,0.25,Cisco IOS
AST00337,LEG-SW-0059,Switch,Christopher,Legal,Medium,0.5,Cisco IOS
AST00338,SAL-SRV-0100,Server,Juan,Sales,High,0.75,Windows Server 2019
AST00339,SAL-DB-0073,Database,Noah,Sales,Medium,0.5,Ubuntu Server 22.04
AST00340,HR-RTR-0052,Router,Connor,HR,Low,0.25,JunOS
AST00341,OPS-MOB-0077,Mobile Device,John,Operations,Medium,0.5,iOS 17
AST00342,MKT-DB-0095,Database,Daniel,Marketing,Medium,0.5,Oracle Linux
AST00343,ENG-RTR-0049,Router,Jessica,Engineering,High,0.75,JunOS
AST00344,IT-SRV-0102,Server,Daniel,IT,High,0.75,CentOS 7
AST00345,LEG-RTR-0098,Router,James,Legal,Low,0.25,JunOS
AST00346,LEG-PRT-0018,Printer,Christopher,Legal,Low,0.25,Embedded Firmware
AST00347,MKT-IOT-0046,IoT Device,Paul,Marketing,High,0.75,Embedded Firmware
AST00348,FIN-SW-0118,Switch,Lisa,Finance,Medium,0.5,Arista EOS
AST00349,LEG-SW-0089,Switch,Amy,Legal,High,0.75,Cisco IOS
AST00350,HR-SW-0074,Switch,Nicholas,HR,High,0.75,Arista EOS
AST00351,IT-DB-0108,Database,Debra,IT,Medium,0.5,Oracle Linux
AST00352,ENG-FW-0051,Firewall,Derrick,Engineering,Critical,1.0,PAN-OS
AST00353,IT-RTR-0004,Router,Phillip,IT,High,0.75,Cisco IOS
AST00354,OPS-MOB-0019,Mobile Device,Jonathan,Operations,Medium,0.5,Android 14
AST00355,HR-SRV-0096,Server,Victor,HR,High,0.75,CentOS 7
AST00356,LEG-SW-0066,Switch,Ashley,Legal,Low,0.25,Arista EOS
AST00357,ENG-IOT-0056,IoT Device,Jason,Engineering,High,0.75,Embedded Firmware
AST00358,MKT-SW-0045,Switch,Eric,Marketing,Low,0.25,Arista EOS
AST00359,FIN-SRV-0115,Server,Nina,Finance,Medium,0.5,CentOS 7
AST00360,IT-SRV-0035,Server,Amanda,IT,High,0.75,CentOS 7
AST00361,OPS-IOT-0035,IoT Device,Michael,Operations,Low,0.25,Embedded Firmware
AST00362,LEG-FW-0066,Firewall,Maria,Legal,Critical,1.0,PAN-OS
AST00363,LEG-DB-0062,Database,David,Legal,High,0.75,Windows Server 2022
AST00364,ENG-MOB-0105,Mobile Device,Barry,Engineering,Medium,0.5,Android 14
AST00365,HR-PC-0064,Workstation,Summer,HR,Medium,0.5,Windows 11
AST00366,ENG-RTR-0089,Router,Brandi,Engineering,Medium,0.5,Cisco IOS
AST00367,OPS-SRV-0079,Server,Jason,Operations,High,0.75,Ubuntu Server 22.04
AST00368,SAL-RTR-0113,Router,Pamela,Sales,High,0.75,Cisco IOS
AST00369,LEG-MOB-0059,Mobile Device,Gregory,Legal,Low,0.25,Android 14
AST00370,FIN-PRT-0025,Printer,Richard,Finance,Medium,0.5,Embedded Firmware
AST00371,IT-RTR-0027,Router,Christine,IT,Low,0.25,JunOS
AST00372,IT-IOT-0091,IoT Device,Tammy,IT,Low,0.25,Embedded Firmware
AST00373,IT-LAP-0047,Laptop,Edward,IT,High,0.75,macOS Sonoma
AST00374,FIN-PC-0016,Workstation,Greg,Finance,Critical,1.0,Ubuntu Linux
AST00375,OPS-FW-0039,Firewall,Beth,Operations,Medium,0.5,PAN-OS
AST00376,LEG-PRT-0114,Printer,Trevor,Legal,Low,0.25,Embedded Firmware
AST00377,OPS-MOB-0110,Mobile Device,David,Operations,High,0.75,iOS 17
AST00378,ENG-FW-0050,Firewall,Bob,Engineering,Medium,0.5,Cisco ASA OS
AST00379,ENG-FW-0012,Firewall,Trevor,Engineering,Critical,1.0,Cisco ASA OS
AST00380,ENG-RTR-0016,Router,Jonathan,Engineering,Medium,0.5,JunOS
AST00381,ENG-RTR-0071,Router,Sean,Engineering,Medium,0.5,JunOS
AST00382,ENG-SRV-0095,Server,Jennifer,Engineering,Medium,0.5,Ubuntu Server 22.04
AST00383,OPS-PC-0026,Workstation,Daniel,Operations,High,0.75,Ubuntu Linux
AST00384,MKT-LAP-0045,Laptop,Caitlin,Marketing,Medium,0.5,Windows 11
AST00385,IT-FW-0015,Firewall,Sherry,IT,Medium,0.5,PAN-OS
AST00386,SAL-FW-0082,Firewall,Lindsay,Sales,Low,0.25,Cisco ASA OS
AST00387,LEG-SW-0106,Switch,Julie,Legal,Medium,0.5,Cisco IOS
AST00388,FIN-IOT-0048,IoT Device,Brian,Finance,Medium,0.5,Embedded Firmware
AST00389,OPS-PRT-0058,Printer,Eric,Operations,Medium,0.5,Embedded Firmware
AST00390,HR-FW-0060,Firewall,Regina,HR,Low,0.25,FortiOS
AST00391,HR-PRT-0069,Printer,Daniel,HR,Medium,0.5,Embedded Firmware
AST00392,MKT-SRV-0107,Server,Karla,Marketing,Low,0.25,Ubuntu Server 22.04
AST00393,ENG-PC-0033,Workstation,Annette,Engineering,Low,0.25,Ubuntu Linux
AST00394,HR-PRT-0029,Printer,Jonathan,HR,Critical,1.0,Embedded Firmware
AST00395,IT-PRT-0067,Printer,Christopher,IT,Low,0.25,Embedded Firmware
AST00396,MKT-DB-0070,Database,Joshua,Marketing,Critical,1.0,Oracle Linux
AST00397,LEG-SRV-0073,Server,Stacy,Legal,Low,0.25,CentOS 7
AST00398,OPS-LAP-0031,Laptop,Brenda,Operations,High,0.75,Windows 10
AST00399,FIN-DB-0019,Database,Lucas,Finance,Low,0.25,Oracle Linux
AST00400,IT-LAP-0001,Laptop,David,IT,Medium,0.5,macOS Ventura
AST00401,FIN-PRT-0031,Printer,Phillip,Finance,Low,0.25,Embedded Firmware
AST00402,ENG-PC-0091,Workstation,Aaron,Engineering,Medium,0.5,Windows 11
AST00403,LEG-SRV-0100,Server,Robert,Legal,Critical,1.0,Ubuntu Server 22.04
AST00404,IT-SW-0122,Switch,Allison,IT,Low,0.25,Arista EOS
AST00405,OPS-MOB-0072,Mobile Device,Jeanette,Operations,High,0.75,iOS 17
AST00406,FIN-FW-0018,Firewall,Claire,Finance,Low,0.25,Cisco ASA OS
AST00407,HR-FW-0078,Firewall,Sandra,HR,High,0.75,PAN-OS
AST00408,LEG-DB-0088,Database,Christopher,Legal,Medium,0.5,Oracle Linux
AST00409,IT-LAP-0046,Laptop,Jeffrey,IT,Medium,0.5,macOS Ventura
AST00410,SAL-PC-0002,Workstation,Kimberly,Sales,Low,0.25,Windows 10
AST00411,HR-SW-0090,Switch,Jessica,HR,High,0.75,Arista EOS
AST00412,SAL-FW-0053,Firewall,Brenda,Sales,Low,0.25,FortiOS
AST00413,SAL-SW-0041,Switch,John,Sales,Medium,0.5,Arista EOS
AST00414,ENG-RTR-0084,Router,Jennifer,Engineering,Medium,0.5,Cisco IOS
AST00415,HR-SW-0124,Switch,Scott,HR,Medium,0.5,Cisco IOS
AST00416,OPS-FW-0113,Firewall,Alicia,Operations,Medium,0.5,Cisco ASA OS
AST00417,FIN-DB-0003,Database,April,Finance,Medium,0.5,Windows Server 2022
AST00418,ENG-SW-0056,Switch,Edgar,Engineering,High,0.75,Cisco IOS
AST00419,SAL-LAP-0102,Laptop,Patrick,Sales,Low,0.25,macOS Sonoma
AST00420,SAL-FW-0111,Firewall,Joseph,Sales,Low,0.25,Cisco ASA OS
AST00421,MKT-SRV-0079,Server,Raymond,Marketing,Low,0.25,Ubuntu Server 22.04
AST00422,ENG-LAP-0019,Laptop,Nicholas,Engineering,High,0.75,macOS Ventura
AST00423,HR-IOT-0046,IoT Device,Matthew,HR,Low,0.25,Embedded Firmware
AST00424,HR-FW-0112,Firewall,Cody,HR,Medium,0.5,Cisco ASA OS
AST00425,HR-DB-0109,Database,Matthew,HR,Low,0.25,Oracle Linux
AST00426,HR-FW-0119,Firewall,Carly,HR,Medium,0.5,PAN-OS
AST00427,OPS-FW-0098,Firewall,Angel,Operations,Low,0.25,FortiOS
AST00428,OPS-FW-0014,Firewall,Julia,Operations,Medium,0.5,FortiOS
AST00429,ENG-SW-0115,Switch,Alec,Engineering,Medium,0.5,Cisco IOS
AST00430,OPS-SW-0117,Switch,Sean,Operations,Medium,0.5,Arista EOS
AST00431,MKT-DB-0039,Database,Michele,Marketing,Medium,0.5,Ubuntu Server 22.04
AST00432,ENG-SW-0064,Switch,Sue,Engineering,High,0.75,Arista EOS
AST00433,FIN-LAP-0007,Laptop,James,Finance,Low,0.25,macOS Ventura
AST00434,OPS-SW-0050,Switch,Toni,Operations,High,0.75,Cisco IOS
AST00435,MKT-MOB-0101,Mobile Device,Karen,Marketing,Medium,0.5,iOS 17
AST00436,LEG-IOT-0052,IoT Device,Douglas,Legal,Low,0.25,Embedded Firmware
AST00437,HR-LAP-0085,Laptop,David,HR,Medium,0.5,Windows 11
AST00438,FIN-MOB-0039,Mobile Device,Lauren,Finance,Low,0.25,Android 14
AST00439,HR-IOT-0014,IoT Device,William,HR,High,0.75,Embedded Firmware
AST00440,SAL-LAP-0064,Laptop,Courtney,Sales,Medium,0.5,Windows 11
AST00441,IT-RTR-0066,Router,Bridget,IT,Critical,1.0,Cisco IOS
AST00442,FIN-IOT-0073,IoT Device,Lance,Finance,Low,0.25,Embedded Firmware
AST00443,SAL-PC-0108,Workstation,Joseph,Sales,Medium,0.5,Windows 11
AST00444,MKT-IOT-0013,IoT Device,Laura,Marketing,Medium,0.5,Embedded Firmware
AST00445,OPS-RTR-0006,Router,Chad,Operations,Low,0.25,Cisco IOS
AST00446,IT-LAP-0084,Laptop,Erika,IT,High,0.75,macOS Ventura
AST00447,OPS-LAP-0080,Laptop,Shirley,Operations,Critical,1.0,Windows 10
AST00448,HR-DB-0060,Database,James,HR,High,0.75,Ubuntu Server 22.04
AST00449,LEG-FW-0010,Firewall,Whitney,Legal,High,0.75,FortiOS
AST00450,IT-FW-0052,Firewall,Rebecca,IT,Low,0.25,Cisco ASA OS
