mapped_event_type,mitre_id,technique_name,tactic
Configuration Change,T1098.007,Additional Local or Domain Groups,Persistence
Privilege Escalation,T1546.008,Accessibility Features,Privilege Escalation
Suspicious Process Execution,T1535,Unused/Unsupported Cloud Regions,Stealth
Suspicious Process Execution,T1070.008,Clear Mailbox Data,Stealth
Firewall Rule Change,T1556.001,Domain Controller Authentication,Defense Impairment
Firewall Rule Change,T1578.001,Create Snapshot,Defense Impairment
Malware Detection,T1574.004,Dylib Hijacking,Execution
Configuration Change,T1546.010,AppInit DLLs,Persistence
DNS Tunneling Detected,T1092,Communication Through Removable Media,Command And Control
Suspicious Process Execution,T1564.004,NTFS File Attributes,Stealth
Brute Force,T1606.001,Web Cookies,Credential Access
Brute Force,T1555.004,Windows Credential Manager,Credential Access
External / Not Directly Observed,T1584.004,Server,Resource Development
Suspicious Process Execution,T1036.011,Overwrite Process Arguments,Stealth
Firewall Rule Change,T1599.001,Network Address Translation Traversal,Defense Impairment
Privilege Escalation,T1543.002,Systemd Service,Privilege Escalation
DNS Tunneling Detected,T1071.004,DNS,Command And Control
Ransomware Detected,T1485,Data Destruction,Impact
Configuration Change,T1136,Create Account,Persistence
Suspicious Process Execution,T1684,Social Engineering,Stealth
External / Not Directly Observed,T1588.002,Tool,Resource Development
Malware Detection,T1677,Poisoned Pipeline Execution,Execution
Ransomware Detected,T1496.003,SMS Pumping,Impact
Suspicious Process Execution,T1218.001,Compiled HTML File,Stealth
Brute Force,T1558,Steal or Forge Kerberos Tickets,Credential Access
Configuration Change,T1505.006,vSphere Installation Bundles,Persistence
Ransomware Detected,T1565.002,Transmitted Data Manipulation,Impact
Privilege Escalation,T1098.007,Additional Local or Domain Groups,Privilege Escalation
Brute Force,T1557.004,Evil Twin,Credential Access
Lateral Movement Detected,T1021.003,Distributed Component Object Model,Lateral Movement
Configuration Change,T1546.009,AppCert DLLs,Persistence
Malware Detection,T1053.006,Systemd Timers,Execution
Malware Detection,T1675,ESXi Administration Command,Execution
File Access,T1125,Video Capture,Collection
Firewall Rule Change,T1556.004,Network Device Authentication,Defense Impairment
External / Not Directly Observed,T1588.003,Code Signing Certificates,Resource Development
External / Not Directly Observed,T1584.008,Network Devices,Resource Development
Lateral Movement Detected,T1091,Replication Through Removable Media,Lateral Movement
Privilege Escalation,T1055.001,Dynamic-link Library Injection,Privilege Escalation
File Access,T1602,Data from Configuration Repository,Collection
Firewall Rule Change,T1556.007,Hybrid Identity,Defense Impairment
Port Scan,T1526,Cloud Service Discovery,Discovery
Suspicious Process Execution,T1211,Exploitation for Stealth,Stealth
Privilege Escalation,T1546.003,Windows Management Instrumentation Event Subscription,Privilege Escalation
Suspicious Process Execution,T1574.001,DLL,Stealth
Suspicious Process Execution,T1564.001,Hidden Files and Directories,Stealth
Firewall Rule Change,T1207,Rogue Domain Controller,Defense Impairment
Malware Detection,T1203,Exploitation for Client Execution,Execution
Configuration Change,T1556.009,Conditional Access Policies,Persistence
File Access,T1119,Automated Collection,Collection
Brute Force,T1556,Modify Authentication Process,Credential Access
Data Exfiltration Attempt,T1011,Exfiltration Over Other Network Medium,Exfiltration
Port Scan,T1654,Log Enumeration,Discovery
Privilege Escalation,T1484.002,Trust Modification,Privilege Escalation
Suspicious Process Execution,T1564.002,Hidden Users,Stealth
Firewall Rule Change,T1601.001,Patch System Image,Defense Impairment
Brute Force,T1552.004,Private Keys,Credential Access
Privilege Escalation,T1053.005,Scheduled Task,Privilege Escalation
Firewall Rule Change,T1578.002,Create Cloud Instance,Defense Impairment
Malware Detection,T1569.003,Systemctl,Execution
Port Scan,T1597.002,Purchase Technical Data,Reconnaissance
Privilege Escalation,T1548.005,Temporary Elevated Cloud Access,Privilege Escalation
Port Scan,T1590.004,Network Topology,Reconnaissance
Privilege Escalation,T1546.017,Udev Rules,Privilege Escalation
Privilege Escalation,T1543.003,Windows Service,Privilege Escalation
Configuration Change,T1547.015,Login Items,Persistence
Suspicious Process Execution,T1574.007,Path Interception by PATH Environment Variable,Stealth
DNS Tunneling Detected,T1008,Fallback Channels,Command And Control
Suspicious Process Execution,T1134.001,Token Impersonation/Theft,Stealth
Firewall Rule Change,T1222.002,Linux and Mac Permissions,Defense Impairment
Port Scan,T1593.003,Code Repositories,Reconnaissance
Firewall Rule Change,T1556.003,Pluggable Authentication Modules,Defense Impairment
File Access,T1115,Clipboard Data,Collection
Configuration Change,T1547.008,LSASS Driver,Persistence
DNS Tunneling Detected,T1071.002,File Transfer Protocols,Command And Control
Suspicious Process Execution,T1564.008,Email Hiding Rules,Stealth
Suspicious Process Execution,T1027.006,HTML Smuggling,Stealth
Configuration Change,T1547.013,XDG Autostart Entries,Persistence
Privilege Escalation,T1546.018,Python Startup Hooks,Privilege Escalation
Configuration Change,T1543.002,Systemd Service,Persistence
Malware Detection,T1127.002,ClickOnce,Execution
Suspicious Process Execution,T1134,Access Token Manipulation,Stealth
Port Scan,T1082,System Information Discovery,Discovery
File Access,T1213.005,Messaging Applications,Collection
Suspicious Process Execution,T1027.008,Stripped Payloads,Stealth
Configuration Change,T1098.001,Additional Cloud Credentials,Persistence
Suspicious Process Execution,T1497.001,System Checks,Stealth
Ransomware Detected,T1531,Account Access Removal,Impact
Port Scan,T1087.002,Domain Account,Discovery
File Access,T1560.003,Archive via Custom Method,Collection
Suspicious Process Execution,T1564.003,Hidden Window,Stealth
Phishing Email,T1078,Valid Accounts,Initial Access
Configuration Change,T1505.005,Terminal Services DLL,Persistence
Suspicious Process Execution,T1564.005,Hidden File System,Stealth
Suspicious Process Execution,T1027.015,Compression,Stealth
Port Scan,T1590.006,Network Security Appliances,Reconnaissance
Firewall Rule Change,T1685,Disable or Modify Tools,Defense Impairment
Suspicious Process Execution,T1027.017,SVG Smuggling,Stealth
Suspicious Process Execution,T1036.007,Double File Extension,Stealth
Configuration Change,T1547,Boot or Logon Autostart Execution,Persistence
Suspicious Process Execution,T1564.007,VBA Stomping,Stealth
Suspicious Process Execution,T1027.007,Dynamic API Resolution,Stealth
Suspicious Process Execution,T1564.006,Run Virtual Instance,Stealth
Firewall Rule Change,T1553.001,Gatekeeper Bypass,Defense Impairment
Privilege Escalation,T1547.013,XDG Autostart Entries,Privilege Escalation
Brute Force,T1649,Steal or Forge Authentication Certificates,Credential Access
Privilege Escalation,T1546.013,PowerShell Profile,Privilege Escalation
Privilege Escalation,T1547.012,Print Processors,Privilege Escalation
Port Scan,T1596.004,CDNs,Reconnaissance
Brute Force,T1552,Unsecured Credentials,Credential Access
Port Scan,T1083,File and Directory Discovery,Discovery
Privilege Escalation,T1547,Boot or Logon Autostart Execution,Privilege Escalation
Brute Force,T1110.002,Password Cracking,Credential Access
Configuration Change,T1037.002,Login Hook,Persistence
Configuration Change,T1037,Boot or Logon Initialization Scripts,Persistence
Privilege Escalation,T1546,Event Triggered Execution,Privilege Escalation
Brute Force,T1552.008,Chat Messages,Credential Access
DNS Tunneling Detected,T1090.001,Internal Proxy,Command And Control
Brute Force,T1621,Multi-Factor Authentication Request Generation,Credential Access
Lateral Movement Detected,T1021.007,Cloud Services,Lateral Movement
Suspicious Process Execution,T1480,Execution Guardrails,Stealth
Firewall Rule Change,T1689,Downgrade Attack,Defense Impairment
Suspicious Process Execution,T1027.009,Embedded Payloads,Stealth
Port Scan,T1598.001,Spearphishing Service,Reconnaissance
File Access,T1074,Data Staged,Collection
External / Not Directly Observed,T1588.001,Malware,Resource Development
File Access,T1560.002,Archive via Library,Collection
Configuration Change,T1137.002,Office Test,Persistence
Port Scan,T1622,Debugger Evasion,Discovery
Malware Detection,T1574.001,DLL,Execution
External / Not Directly Observed,T1588.006,Vulnerabilities,Resource Development
Privilege Escalation,T1134,Access Token Manipulation,Privilege Escalation
Privilege Escalation,T1548.003,Sudo and Sudo Caching,Privilege Escalation
External / Not Directly Observed,T1583.008,Malvertising,Resource Development
Malware Detection,T1053.005,Scheduled Task,Execution
Privilege Escalation,T1547.005,Security Support Provider,Privilege Escalation
Malware Detection,T1559.003,XPC Services,Execution
Lateral Movement Detected,T1550.004,Web Session Cookie,Lateral Movement
Brute Force,T1606.002,SAML Tokens,Credential Access
External / Not Directly Observed,T1584.006,Web Services,Resource Development
Suspicious Process Execution,T1070.003,Clear Command History,Stealth
Privilege Escalation,T1055.008,Ptrace System Calls,Privilege Escalation
Configuration Change,T1546.004,Unix Shell Configuration Modification,Persistence
Brute Force,T1558.005,Ccache Files,Credential Access
Brute Force,T1558.004,AS-REP Roasting,Credential Access
Port Scan,T1590.001,Domain Properties,Reconnaissance
Suspicious Process Execution,T1218.004,InstallUtil,Stealth
External / Not Directly Observed,T1583.002,DNS Server,Resource Development
Ransomware Detected,T1491.002,External Defacement,Impact
Configuration Change,T1205.002,Socket Filters,Persistence
Data Exfiltration Attempt,T1020.001,Traffic Duplication,Exfiltration
Firewall Rule Change,T1600,Weaken Encryption,Defense Impairment
Brute Force,T1555.003,Credentials from Web Browsers,Credential Access
Suspicious Process Execution,T1027.016,Junk Code Insertion,Stealth
Privilege Escalation,T1547.003,Time Providers,Privilege Escalation
Brute Force,T1558.001,Golden Ticket,Credential Access
Suspicious Process Execution,T1542.003,Bootkit,Stealth
Firewall Rule Change,T1685.003,Modify or Spoof Tool UI,Defense Impairment
Privilege Escalation,T1547.004,Winlogon Helper DLL,Privilege Escalation
Malware Detection,T1072,Software Deployment Tools,Execution
Malware Detection,T1204.005,Malicious Library,Execution
Lateral Movement Detected,T1021.004,SSH,Lateral Movement
Brute Force,T1555.002,Securityd Memory,Credential Access
Firewall Rule Change,T1578.005,Modify Cloud Compute Configurations,Defense Impairment
Firewall Rule Change,T1686.001,Cloud Firewall,Defense Impairment
Configuration Change,T1098.002,Additional Email Delegate Permissions,Persistence
Port Scan,T1538,Cloud Service Dashboard,Discovery
Lateral Movement Detected,T1563,Remote Service Session Hijacking,Lateral Movement
Suspicious Process Execution,T1134.002,Create Process with Token,Stealth
Brute Force,T1556.002,Password Filter DLL,Credential Access
Port Scan,T1590.005,IP Addresses,Reconnaissance
Lateral Movement Detected,T1021.006,Windows Remote Management,Lateral Movement
External / Not Directly Observed,T1584.002,DNS Server,Resource Development
Suspicious Process Execution,T1036.006,Space after Filename,Stealth
Suspicious Process Execution,T1134.004,Parent PID Spoofing,Stealth
Port Scan,T1049,System Network Connections Discovery,Discovery
Port Scan,T1591.002,Business Relationships,Reconnaissance
Suspicious Process Execution,T1140,Deobfuscate/Decode Files or Information,Stealth
Port Scan,T1596.001,DNS/Passive DNS,Reconnaissance
Suspicious Process Execution,T1205,Traffic Signaling,Stealth
Privilege Escalation,T1548.004,Elevated Execution with Prompt,Privilege Escalation
Suspicious Process Execution,T1027.005,Indicator Removal from Tools,Stealth
Port Scan,T1598,Phishing for Information,Reconnaissance
Phishing Email,T1195.003,Compromise Hardware Supply Chain,Initial Access
Suspicious Process Execution,T1564.009,Resource Forking,Stealth
Configuration Change,T1547.006,Kernel Modules and Extensions,Persistence
Malware Detection,T1059.002,AppleScript,Execution
External / Not Directly Observed,T1608.003,Install Digital Certificate,Resource Development
Configuration Change,T1098.005,Device Registration,Persistence
Configuration Change,T1546.012,Image File Execution Options Injection,Persistence
Brute Force,T1552.001,Credentials In Files,Credential Access
Port Scan,T1120,Peripheral Device Discovery,Discovery
Suspicious Process Execution,T1036.012,Browser Fingerprint,Stealth
Privilege Escalation,T1547.002,Authentication Package,Privilege Escalation
Ransomware Detected,T1667,Email Bombing,Impact
Suspicious Process Execution,T1574.005,Executable Installer File Permissions Weakness,Stealth
Port Scan,T1124,System Time Discovery,Discovery
Suspicious Process Execution,T1497.002,User Activity Based Checks,Stealth
Malware Detection,T1648,Serverless Execution,Execution
Port Scan,T1592.004,Client Configurations,Reconnaissance
Lateral Movement Detected,T1550,Use Alternate Authentication Material,Lateral Movement
Suspicious Process Execution,T1078.001,Default Accounts,Stealth
Ransomware Detected,T1499,Endpoint Denial of Service,Impact
Malware Detection,T1047,Windows Management Instrumentation,Execution
Privilege Escalation,T1611,Escape to Host,Privilege Escalation
Port Scan,T1590,Gather Victim Network Information,Reconnaissance
Malware Detection,T1127.001,MSBuild,Execution
Phishing Email,T1078.002,Domain Accounts,Initial Access
Phishing Email,T1195.001,Compromise Software Dependencies and Development Tools,Initial Access
Port Scan,T1069.003,Cloud Groups,Discovery
Suspicious Process Execution,T1497.003,Time Based Checks,Stealth
External / Not Directly Observed,T1588.007,Artificial Intelligence,Resource Development
Configuration Change,T1542,Pre-OS Boot,Persistence
Ransomware Detected,T1491.001,Internal Defacement,Impact
Configuration Change,T1547.002,Authentication Package,Persistence
Port Scan,T1591,Gather Victim Org Information,Reconnaissance
Suspicious Process Execution,T1574.010,Services File Permissions Weakness,Stealth
Suspicious Process Execution,T1218.002,Control Panel,Stealth
Suspicious Process Execution,T1127.001,MSBuild,Stealth
Privilege Escalation,T1547.015,Login Items,Privilege Escalation
Suspicious Process Execution,T1027.018,Invisible Unicode,Stealth
Port Scan,T1592.001,Hardware,Reconnaissance
Suspicious Process Execution,T1027.011,Fileless Storage,Stealth
Privilege Escalation,T1055.015,ListPlanting,Privilege Escalation
Suspicious Process Execution,T1542.002,Component Firmware,Stealth
Privilege Escalation,T1484,Domain or Tenant Policy Modification,Privilege Escalation
DNS Tunneling Detected,T1665,Hide Infrastructure,Command And Control
Port Scan,T1518,Software Discovery,Discovery
External / Not Directly Observed,T1586.002,Email Accounts,Resource Development
Firewall Rule Change,T1484.001,Group Policy Modification,Defense Impairment
Configuration Change,T1556.005,Reversible Encryption,Persistence
File Access,T1560.001,Archive via Utility,Collection
Privilege Escalation,T1053.003,Cron,Privilege Escalation
Firewall Rule Change,T1556.002,Password Filter DLL,Defense Impairment
Port Scan,T1595,Active Scanning,Reconnaissance
Suspicious Process Execution,T1036.001,Invalid Code Signature,Stealth
Suspicious Process Execution,T1027.012,LNK Icon Smuggling,Stealth
Suspicious Process Execution,T1221,Template Injection,Stealth
Brute Force,T1040,Network Sniffing,Credential Access
Privilege Escalation,T1098,Account Manipulation,Privilege Escalation
Port Scan,T1497.002,User Activity Based Checks,Discovery
Privilege Escalation,T1134.003,Make and Impersonate Token,Privilege Escalation
External / Not Directly Observed,T1584.007,Serverless,Resource Development
Configuration Change,T1197,BITS Jobs,Persistence
Privilege Escalation,T1055.012,Process Hollowing,Privilege Escalation
Suspicious Process Execution,T1564.014,Extended Attributes,Stealth
Firewall Rule Change,T1688,Safe Mode Boot,Defense Impairment
Phishing Email,T1566.003,Spearphishing via Service,Initial Access
Lateral Movement Detected,T1021.001,Remote Desktop Protocol,Lateral Movement
Suspicious Process Execution,T1027.013,Encrypted/Encoded File,Stealth
Port Scan,T1040,Network Sniffing,Discovery
File Access,T1056.001,Keylogging,Collection
Port Scan,T1591.003,Identify Business Tempo,Reconnaissance
Suspicious Process Execution,T1078,Valid Accounts,Stealth
Privilege Escalation,T1547.007,Re-opened Applications,Privilege Escalation
Privilege Escalation,T1055.002,Portable Executable Injection,Privilege Escalation
Suspicious Process Execution,T1014,Rootkit,Stealth
External / Not Directly Observed,T1584,Compromise Infrastructure,Resource Development
Brute Force,T1056.002,GUI Input Capture,Credential Access
Suspicious Process Execution,T1027.001,Binary Padding,Stealth
Privilege Escalation,T1134.002,Create Process with Token,Privilege Escalation
Lateral Movement Detected,T1080,Taint Shared Content,Lateral Movement
Configuration Change,T1546.018,Python Startup Hooks,Persistence
DNS Tunneling Detected,T1071.001,Web Protocols,Command And Control
File Access,T1557.003,DHCP Spoofing,Collection
Firewall Rule Change,T1685.006,Clear Linux or Mac System Logs,Defense Impairment
Brute Force,T1556.007,Hybrid Identity,Credential Access
File Access,T1213.006,Databases,Collection
Suspicious Process Execution,T1055.009,Proc Memory,Stealth
Port Scan,T1087.003,Email Account,Discovery
Configuration Change,T1546.005,Trap,Persistence
Phishing Email,T1078.004,Cloud Accounts,Initial Access
Malware Detection,T1204,User Execution,Execution
