vulnerability_id,cve_id,vulnerability_name,severity,cvss_score,affected_asset,patch_available,status
VUL03064,CVE-2026-51651,Remote Code Execution,Medium,4.9,FIN-FW-0021,Yes,In Progress
VUL03065,CVE-2024-79455,Insecure Direct Object Reference,Critical,10.0,LEG-IOT-0078,Yes,Closed
VUL03066,CVE-2022-6755,Command Injection,High,8.4,SAL-DB-0070,Yes,In Progress
VUL03067,CVE-2015-78227,XML External Entity (XXE),High,8.1,SAL-SRV-0122,No,Won't Fix
VUL03068,CVE-2017-43487,Remote Code Execution,Critical,9.3,OPS-DB-0027,Yes,Closed
VUL03069,CVE-2020-79983,Sensitive Data Exposure,Low,3.4,ENG-LAP-0051,Yes,Closed
VUL03070,CVE-2018-49308,Sensitive Data Exposure,Medium,6.8,SAL-IOT-0093,No,Won't Fix
VUL03071,CVE-2018-23502,Open Redirect,Low,1.0,IT-SW-0109,No,Open
VUL03072,CVE-2021-9788,SQL Injection,Critical,9.7,HR-SW-0118,Yes,Patched
VUL03073,CVE-2021-84909,Denial of Service,High,8.5,SAL-SRV-0035,Yes,Patched
VUL03074,CVE-2018-52320,Weak Password Policy,Low,1.9,LEG-PC-0055,Yes,Closed
VUL03075,CVE-2022-2350,Missing Security Patch,Low,3.1,IT-RTR-0024,Yes,In Progress
VUL03076,CVE-2016-35115,Missing Security Patch,Critical,9.0,LEG-FW-0063,Yes,Closed
VUL03077,CVE-2018-64174,Sensitive Data Exposure,High,7.2,SAL-FW-0096,Yes,Patched
VUL03078,CVE-2021-44534,Weak Password Policy,Medium,6.8,IT-MOB-0019,No,In Progress
VUL03079,CVE-2019-1931,Weak Password Policy,Low,1.2,SAL-SW-0059,No,Open
VUL03080,CVE-2018-17328,Sensitive Data Exposure,High,8.0,LEG-SRV-0007,No,Won't Fix
VUL03081,CVE-2022-64950,SQL Injection,Medium,4.9,ENG-SW-0005,Yes,Closed
VUL03082,CVE-2024-14673,Buffer Overflow,Low,0.6,SAL-SRV-0037,Yes,Patched
VUL03083,CVE-2021-63298,XML External Entity (XXE),Low,2.6,LEG-FW-0006,No,In Progress
VUL03084,CVE-2021-45717,Missing Security Patch,High,7.6,MKT-PC-0062,Yes,Patched
VUL03085,CVE-2024-58711,Broken Authentication,High,8.5,HR-PC-0062,Yes,Closed
VUL03086,CVE-2016-20952,Buffer Overflow,Low,2.4,OPS-LAP-0084,Yes,Closed
VUL03087,CVE-2015-34504,Denial of Service,Critical,9.8,LEG-PRT-0134,Yes,Closed
VUL03088,CVE-2019-82218,Command Injection,High,7.8,ENG-PC-0112,Yes,In Progress
VUL03089,CVE-2026-22623,Broken Authentication,Low,2.6,FIN-LAP-0084,No,Open
VUL03090,CVE-2024-48187,Broken Authentication,Low,1.5,LEG-MOB-0100,Yes,In Progress
VUL03091,CVE-2023-95834,Security Misconfiguration,Medium,6.8,OPS-IOT-0031,No,Won't Fix
VUL03092,CVE-2021-92963,Privilege Escalation,Medium,4.1,ENG-SRV-0061,No,Won't Fix
VUL03093,CVE-2022-57169,Denial of Service,High,8.8,IT-SW-0034,Yes,Closed
VUL03094,CVE-2015-2411,XML External Entity (XXE),Critical,9.7,SAL-LAP-0102,Yes,Closed
VUL03095,CVE-2022-25244,Unpatched Software,Low,0.1,ENG-MOB-0061,No,In Progress
VUL03096,CVE-2018-96460,Cross-Site Scripting (XSS),Medium,6.7,SAL-MOB-0151,Yes,In Progress
VUL03097,CVE-2016-41082,Remote Code Execution,Low,1.2,OPS-SW-0059,No,In Progress
VUL03098,CVE-2024-57874,Open Redirect,Medium,6.3,HR-SW-0053,Yes,In Progress
VUL03099,CVE-2021-96655,Server-Side Request Forgery (SSRF),High,8.5,SAL-MOB-0156,No,Open
VUL03100,CVE-2023-32377,Cross-Site Scripting (XSS),Critical,9.1,FIN-SRV-0086,Yes,In Progress
VUL03101,CVE-2021-83184,XML External Entity (XXE),Low,1.7,LEG-DB-0111,Yes,In Progress
VUL03102,CVE-2025-45547,Insecure Deserialization,Low,0.8,HR-PRT-0019,Yes,Patched
VUL03103,CVE-2019-13460,Server-Side Request Forgery (SSRF),Medium,5.5,LEG-SW-0058,Yes,Patched
VUL03104,CVE-2015-39734,Insecure Direct Object Reference,Medium,6.5,HR-SW-0073,No,In Progress
VUL03105,CVE-2023-53477,Remote Code Execution,Critical,9.5,FIN-SW-0082,No,In Progress
VUL03106,CVE-2022-36611,Remote Code Execution,Medium,5.7,IT-SRV-0135,Yes,In Progress
VUL03107,CVE-2017-20490,Missing Security Patch,Medium,5.7,IT-FW-0068,Yes,In Progress
VUL03108,CVE-2018-84068,Server-Side Request Forgery (SSRF),High,7.9,HR-FW-0117,Yes,Patched
VUL03109,CVE-2020-41171,Broken Authentication,Medium,4.7,OPS-SW-0059,Yes,Patched
VUL03110,CVE-2017-55303,Open Redirect,Critical,9.3,LEG-RTR-0024,Yes,In Progress
VUL03111,CVE-2022-69523,XML External Entity (XXE),Medium,4.7,HR-MOB-0082,Yes,Patched
VUL03112,CVE-2018-55259,Cross-Site Scripting (XSS),Low,2.2,OPS-MOB-0046,Yes,In Progress
VUL03113,CVE-2016-90081,Server-Side Request Forgery (SSRF),Low,3.5,SAL-SRV-0067,No,In Progress
VUL03114,CVE-2017-18426,Missing Security Patch,Medium,5.3,HR-FW-0096,No,In Progress
VUL03115,CVE-2024-64823,Missing Security Patch,Critical,9.2,IT-PC-0058,Yes,Closed
VUL03116,CVE-2019-29463,XML External Entity (XXE),Medium,4.9,LEG-IOT-0023,Yes,In Progress
VUL03117,CVE-2026-40282,Path Traversal,Critical,9.4,MKT-DB-0114,Yes,In Progress
VUL03118,CVE-2025-75116,Denial of Service,High,8.6,HR-SRV-0081,Yes,In Progress
VUL03119,CVE-2020-84588,Open Redirect,High,8.7,MKT-DB-0094,Yes,Closed
VUL03120,CVE-2023-34763,Server-Side Request Forgery (SSRF),Medium,4.1,MKT-FW-0012,No,In Progress
VUL03121,CVE-2019-54725,Unpatched Software,Medium,4.4,OPS-MOB-0053,No,Open
VUL03122,CVE-2021-68874,Sensitive Data Exposure,Low,0.5,OPS-LAP-0071,Yes,Closed
VUL03123,CVE-2022-17857,Cross-Site Scripting (XSS),High,7.6,ENG-SW-0015,No,Won't Fix
VUL03124,CVE-2025-41946,Denial of Service,Medium,4.1,ENG-FW-0078,Yes,In Progress
VUL03125,CVE-2020-25593,XML External Entity (XXE),High,8.7,LEG-IOT-0049,No,Won't Fix
VUL03126,CVE-2021-81814,Insecure Direct Object Reference,Low,1.8,MKT-SRV-0028,Yes,Closed
VUL03127,CVE-2018-18929,Broken Authentication,High,8.7,OPS-PC-0094,No,In Progress
VUL03128,CVE-2022-39807,Outdated SSL/TLS Configuration,High,7.6,HR-RTR-0095,Yes,In Progress
VUL03129,CVE-2025-13994,XML External Entity (XXE),Medium,6.7,LEG-IOT-0079,No,Open
VUL03130,CVE-2024-97602,Server-Side Request Forgery (SSRF),Medium,4.5,IT-SW-0041,Yes,In Progress
VUL03131,CVE-2024-59264,XML External Entity (XXE),Medium,5.7,IT-PC-0034,No,In Progress
VUL03132,CVE-2017-21247,Outdated SSL/TLS Configuration,High,7.3,LEG-IOT-0094,Yes,Patched
VUL03133,CVE-2017-79607,Path Traversal,Medium,4.1,MKT-MOB-0094,No,In Progress
VUL03134,CVE-2023-40237,Denial of Service,Medium,4.6,LEG-PC-0101,Yes,Patched
VUL03135,CVE-2021-6439,Buffer Overflow,Low,1.4,IT-MOB-0103,Yes,Closed
VUL03136,CVE-2017-91651,SQL Injection,High,8.4,IT-LAP-0123,Yes,In Progress
VUL03137,CVE-2016-42396,Command Injection,Medium,4.7,FIN-LAP-0013,No,In Progress
VUL03138,CVE-2026-23111,Privilege Escalation,High,7.9,SAL-IOT-0095,Yes,Closed
VUL03139,CVE-2017-50800,Broken Authentication,Critical,9.9,OPS-MOB-0139,Yes,In Progress
VUL03140,CVE-2025-51634,Unpatched Software,Medium,6.1,SAL-RTR-0078,No,In Progress
VUL03141,CVE-2016-93149,Unpatched Software,Medium,6.8,OPS-PRT-0013,Yes,Patched
VUL03142,CVE-2026-83673,Path Traversal,Low,1.5,OPS-RTR-0030,No,In Progress
VUL03143,CVE-2019-25663,SQL Injection,Critical,9.5,IT-RTR-0019,Yes,Patched
VUL03144,CVE-2025-80167,Outdated SSL/TLS Configuration,High,8.2,OPS-MOB-0034,Yes,Patched
VUL03145,CVE-2026-9999,Cross-Site Scripting (XSS),Medium,4.8,FIN-IOT-0122,Yes,Closed
VUL03146,CVE-2022-40133,Sensitive Data Exposure,Low,3.8,SAL-MOB-0148,Yes,Patched
VUL03147,CVE-2020-95764,Sensitive Data Exposure,Critical,9.8,LEG-DB-0033,No,Open
VUL03148,CVE-2018-47063,Privilege Escalation,High,8.3,SAL-LAP-0025,No,Won't Fix
VUL03149,CVE-2016-43838,Insecure Direct Object Reference,Low,3.3,MKT-MOB-0099,Yes,In Progress
VUL03150,CVE-2024-25755,Buffer Overflow,Medium,4.5,OPS-FW-0005,Yes,Closed
VUL03151,CVE-2017-87529,Remote Code Execution,High,7.6,OPS-DB-0058,Yes,In Progress
VUL03152,CVE-2022-91871,Privilege Escalation,Medium,6.6,OPS-PC-0044,No,Open
VUL03153,CVE-2015-79144,Remote Code Execution,Medium,4.8,MKT-PC-0080,No,In Progress
VUL03154,CVE-2016-47474,Insecure Deserialization,Low,3.6,SAL-SRV-0094,No,Won't Fix
VUL03155,CVE-2025-58650,Command Injection,Medium,6.8,SAL-DB-0056,No,Won't Fix
VUL03156,CVE-2017-64322,Command Injection,Low,2.4,ENG-SRV-0139,No,Won't Fix
VUL03157,CVE-2019-21084,Denial of Service,High,8.5,LEG-FW-0030,Yes,Patched
VUL03158,CVE-2020-36651,Unpatched Software,High,7.9,HR-MOB-0049,Yes,In Progress
VUL03159,CVE-2023-7124,Insecure Direct Object Reference,High,8.8,FIN-RTR-0023,No,In Progress
VUL03160,CVE-2018-11334,Open Redirect,Critical,9.8,MKT-LAP-0083,Yes,In Progress
VUL03161,CVE-2021-84111,Unpatched Software,Medium,6.4,LEG-DB-0086,Yes,Patched
VUL03162,CVE-2020-22142,Cross-Site Scripting (XSS),Low,2.4,FIN-DB-0046,No,Won't Fix
VUL03163,CVE-2015-15943,Security Misconfiguration,High,7.8,MKT-SRV-0015,No,Won't Fix
VUL03164,CVE-2017-72723,Open Redirect,Low,2.7,ENG-PC-0027,No,Won't Fix
VUL03165,CVE-2015-99997,Denial of Service,High,8.4,HR-MOB-0097,No,Open
VUL03166,CVE-2024-40857,Buffer Overflow,Critical,9.0,ENG-FW-0040,Yes,Patched
VUL03167,CVE-2026-92279,Command Injection,Medium,5.3,FIN-DB-0051,No,Won't Fix
VUL03168,CVE-2016-40630,Server-Side Request Forgery (SSRF),High,8.1,HR-SW-0117,Yes,In Progress
VUL03169,CVE-2026-83076,Buffer Overflow,Medium,5.5,MKT-FW-0094,No,Won't Fix
VUL03170,CVE-2017-89817,Missing Security Patch,Low,1.3,ENG-FW-0103,No,Open
VUL03171,CVE-2024-87089,Insecure Deserialization,Low,2.3,ENG-LAP-0100,No,Open
VUL03172,CVE-2021-53460,Buffer Overflow,Low,0.4,OPS-SW-0057,No,In Progress
VUL03173,CVE-2019-24339,Broken Authentication,Low,0.1,ENG-SRV-0057,Yes,Patched
VUL03174,CVE-2023-58338,Sensitive Data Exposure,High,8.4,OPS-IOT-0054,Yes,Patched
VUL03175,CVE-2021-10582,Outdated SSL/TLS Configuration,Low,1.4,OPS-IOT-0012,Yes,Closed
VUL03176,CVE-2017-95978,Security Misconfiguration,High,7.3,HR-SRV-0060,Yes,Closed
VUL03177,CVE-2025-69822,Privilege Escalation,Medium,6.3,FIN-SRV-0125,No,Open
VUL03178,CVE-2019-44400,SQL Injection,Medium,6.1,MKT-SW-0106,No,Open
VUL03179,CVE-2023-25557,Unpatched Software,Low,1.4,FIN-SW-0112,Yes,In Progress
VUL03180,CVE-2025-98806,Cross-Site Scripting (XSS),Critical,9.6,IT-DB-0002,No,Open
VUL03181,CVE-2025-58519,Denial of Service,Medium,4.1,FIN-IOT-0101,No,Won't Fix
VUL03182,CVE-2024-76487,Command Injection,Low,0.6,FIN-LAP-0080,No,Won't Fix
VUL03183,CVE-2025-65047,Security Misconfiguration,Critical,9.6,LEG-RTR-0122,Yes,In Progress
VUL03184,CVE-2025-41129,Privilege Escalation,Medium,4.5,OPS-FW-0002,No,In Progress
VUL03185,CVE-2017-40454,XML External Entity (XXE),Low,2.2,OPS-MOB-0102,Yes,In Progress
VUL03186,CVE-2025-73847,Remote Code Execution,High,7.1,SAL-SRV-0044,Yes,Patched
VUL03187,CVE-2016-10247,Missing Security Patch,Medium,5.7,ENG-PRT-0034,Yes,In Progress
VUL03188,CVE-2019-39984,Denial of Service,Medium,4.8,LEG-MOB-0015,Yes,In Progress
VUL03189,CVE-2016-54671,Unpatched Software,Critical,9.1,IT-IOT-0117,Yes,Closed
VUL03190,CVE-2016-62436,Broken Authentication,High,7.7,MKT-SW-0034,No,Won't Fix
VUL03191,CVE-2021-95130,Insecure Deserialization,Low,2.7,IT-IOT-0020,No,In Progress
VUL03192,CVE-2025-15441,Unpatched Software,Low,3.8,ENG-PC-0030,No,Won't Fix
VUL03193,CVE-2016-44671,Security Misconfiguration,Low,1.0,SAL-IOT-0104,Yes,In Progress
VUL03194,CVE-2015-77473,Remote Code Execution,Critical,9.2,LEG-MOB-0011,No,Won't Fix
VUL03195,CVE-2021-24686,Path Traversal,Low,2.1,OPS-PRT-0066,No,Won't Fix
VUL03196,CVE-2017-44105,Path Traversal,High,7.2,FIN-DB-0088,Yes,In Progress
VUL03197,CVE-2025-32741,Remote Code Execution,High,8.2,FIN-MOB-0108,Yes,In Progress
VUL03198,CVE-2022-61180,SQL Injection,Low,0.4,SAL-MOB-0035,No,Won't Fix
VUL03199,CVE-2021-20543,Denial of Service,High,8.5,FIN-PRT-0062,No,Won't Fix
VUL03200,CVE-2016-50435,Open Redirect,High,8.2,FIN-SRV-0074,No,Won't Fix
VUL03201,CVE-2015-62384,Denial of Service,Low,1.5,IT-PRT-0062,Yes,In Progress
VUL03202,CVE-2021-48229,Path Traversal,Low,3.1,ENG-SW-0065,No,In Progress
VUL03203,CVE-2025-63748,Security Misconfiguration,Medium,4.2,LEG-SRV-0091,No,Won't Fix
VUL03204,CVE-2018-40111,Path Traversal,Critical,9.5,HR-SW-0088,Yes,Patched
VUL03205,CVE-2026-59652,Server-Side Request Forgery (SSRF),Critical,9.4,FIN-LAP-0041,Yes,Patched
VUL03206,CVE-2024-76750,Insecure Direct Object Reference,Medium,6.1,LEG-FW-0068,Yes,Patched
VUL03207,CVE-2018-64469,Server-Side Request Forgery (SSRF),Medium,5.5,MKT-PRT-0045,Yes,In Progress
VUL03208,CVE-2016-29445,Path Traversal,Critical,9.1,HR-LAP-0001,No,Open
VUL03209,CVE-2015-54934,Sensitive Data Exposure,Medium,6.7,MKT-SRV-0119,No,Won't Fix
VUL03210,CVE-2020-39937,Path Traversal,High,7.1,FIN-PC-0102,No,Open
VUL03211,CVE-2020-65715,Unpatched Software,Medium,6.3,OPS-DB-0087,No,Open
VUL03212,CVE-2015-33367,Insecure Direct Object Reference,High,8.4,IT-SW-0111,Yes,Closed
VUL03213,CVE-2020-55701,Outdated SSL/TLS Configuration,Medium,5.1,ENG-MOB-0122,Yes,Closed
VUL03214,CVE-2018-32407,Unpatched Software,Critical,9.2,ENG-RTR-0094,Yes,Closed
VUL03215,CVE-2017-98423,Privilege Escalation,Medium,6.6,OPS-MOB-0003,Yes,In Progress
VUL03216,CVE-2023-85869,Denial of Service,High,7.4,SAL-PRT-0062,No,In Progress
VUL03217,CVE-2019-8365,Buffer Overflow,Medium,5.3,SAL-RTR-0059,Yes,In Progress
VUL03218,CVE-2020-74171,Broken Authentication,Medium,6.8,IT-LAP-0091,Yes,In Progress
VUL03219,CVE-2019-34099,Buffer Overflow,Medium,4.7,OPS-PC-0082,No,Won't Fix
VUL03220,CVE-2020-66201,Command Injection,Medium,4.6,FIN-PRT-0003,No,Open
VUL03221,CVE-2024-68901,Open Redirect,High,7.7,HR-MOB-0089,No,Won't Fix
VUL03222,CVE-2018-97306,Insecure Deserialization,High,8.4,ENG-PRT-0052,No,Open
VUL03223,CVE-2025-11941,Buffer Overflow,Low,1.6,HR-DB-0100,No,Open
VUL03224,CVE-2026-98611,Path Traversal,Low,0.7,IT-FW-0088,Yes,In Progress
VUL03225,CVE-2025-48340,Path Traversal,Low,3.3,OPS-FW-0055,Yes,In Progress
VUL03226,CVE-2017-36491,Security Misconfiguration,Low,1.8,OPS-RTR-0025,Yes,Patched
VUL03227,CVE-2016-23231,Missing Security Patch,Critical,10.0,SAL-PRT-0122,No,Open
VUL03228,CVE-2022-22551,Open Redirect,High,8.5,SAL-SW-0083,Yes,Closed
VUL03229,CVE-2019-97723,Unpatched Software,Low,3.3,MKT-MOB-0008,Yes,Patched
VUL03230,CVE-2017-61621,Buffer Overflow,Low,2.4,IT-RTR-0093,Yes,Closed
VUL03231,CVE-2022-13093,SQL Injection,High,8.6,SAL-MOB-0106,Yes,Closed
VUL03232,CVE-2026-42842,Insecure Deserialization,High,8.9,ENG-RTR-0123,Yes,Closed
VUL03233,CVE-2020-96266,Cross-Site Scripting (XSS),Low,0.7,HR-SW-0028,Yes,In Progress
VUL03234,CVE-2021-12679,Remote Code Execution,Medium,5.7,SAL-RTR-0011,No,In Progress
VUL03235,CVE-2025-74060,Security Misconfiguration,High,7.2,MKT-PRT-0068,Yes,Closed
VUL03236,CVE-2026-85128,Missing Security Patch,Medium,4.9,HR-PC-0028,No,Won't Fix
VUL03237,CVE-2022-2229,Outdated SSL/TLS Configuration,High,8.2,SAL-SW-0035,Yes,In Progress
VUL03238,CVE-2018-74745,Insecure Direct Object Reference,Medium,5.7,MKT-RTR-0042,Yes,Patched
VUL03239,CVE-2024-52316,Cross-Site Scripting (XSS),Critical,9.8,IT-PRT-0019,No,Won't Fix
VUL03240,CVE-2017-76458,Remote Code Execution,Low,3.3,FIN-RTR-0099,Yes,In Progress
VUL03241,CVE-2023-87458,XML External Entity (XXE),Critical,9.7,FIN-MOB-0051,Yes,In Progress
VUL03242,CVE-2021-83294,Security Misconfiguration,Medium,5.9,FIN-MOB-0049,Yes,Patched
VUL03243,CVE-2016-22736,Cross-Site Scripting (XSS),Medium,6.3,IT-DB-0115,No,Won't Fix
VUL03244,CVE-2015-65245,Missing Security Patch,High,8.8,SAL-SW-0034,Yes,In Progress
VUL03245,CVE-2019-3478,Path Traversal,High,8.5,SAL-MOB-0094,No,Open
VUL03246,CVE-2019-15545,SQL Injection,Medium,4.2,FIN-LAP-0051,Yes,Closed
VUL03247,CVE-2015-34873,Security Misconfiguration,High,7.9,IT-PRT-0090,No,In Progress
VUL03248,CVE-2025-23409,Command Injection,Low,3.3,OPS-FW-0102,Yes,Closed
VUL03249,CVE-2017-86414,XML External Entity (XXE),Low,2.2,MKT-DB-0089,Yes,In Progress
VUL03250,CVE-2022-21880,Command Injection,High,7.8,SAL-LAP-0024,No,Won't Fix
VUL03251,CVE-2026-75338,Unpatched Software,Medium,4.8,MKT-IOT-0036,Yes,In Progress
VUL03252,CVE-2025-60573,Weak Password Policy,Medium,5.3,SAL-PRT-0062,No,In Progress
VUL03253,CVE-2016-53839,Path Traversal,Low,2.1,IT-IOT-0063,No,Won't Fix
VUL03254,CVE-2026-36700,Buffer Overflow,Low,3.8,MKT-SRV-0103,Yes,Patched
VUL03255,CVE-2018-69162,Buffer Overflow,Critical,9.5,SAL-PRT-0092,No,In Progress
VUL03256,CVE-2017-12285,Command Injection,Medium,4.9,IT-LAP-0106,No,Won't Fix
VUL03257,CVE-2015-58949,Open Redirect,Medium,5.0,LEG-PC-0091,No,In Progress
VUL03258,CVE-2023-80402,Server-Side Request Forgery (SSRF),Critical,9.9,ENG-LAP-0020,Yes,Patched
VUL03259,CVE-2022-52648,Remote Code Execution,Critical,9.2,OPS-LAP-0050,Yes,Closed
VUL03260,CVE-2016-66365,Path Traversal,Low,2.3,FIN-LAP-0122,Yes,In Progress
VUL03261,CVE-2022-74483,Buffer Overflow,High,7.4,ENG-SRV-0002,No,Open
VUL03262,CVE-2015-51057,Buffer Overflow,Critical,9.6,HR-MOB-0083,Yes,Patched
VUL03263,CVE-2024-51913,Cross-Site Scripting (XSS),Medium,5.3,IT-IOT-0015,Yes,Closed
VUL03264,CVE-2020-66159,SQL Injection,Critical,9.9,HR-MOB-0058,Yes,Closed
VUL03265,CVE-2026-90807,Broken Authentication,Low,1.6,FIN-PRT-0058,No,Won't Fix
VUL03266,CVE-2022-1348,Denial of Service,High,8.6,ENG-DB-0046,Yes,Closed
VUL03267,CVE-2023-80701,Path Traversal,Medium,5.8,OPS-RTR-0058,No,Open
VUL03268,CVE-2021-99757,Missing Security Patch,Critical,9.2,ENG-DB-0033,Yes,Patched
VUL03269,CVE-2025-61469,Server-Side Request Forgery (SSRF),High,7.4,ENG-FW-0011,Yes,In Progress
VUL03270,CVE-2015-49933,Cross-Site Scripting (XSS),High,7.8,IT-MOB-0113,Yes,Closed
VUL03271,CVE-2024-64586,Missing Security Patch,Low,0.7,OPS-SRV-0031,No,In Progress
VUL03272,CVE-2020-58446,Path Traversal,Low,0.7,ENG-MOB-0073,Yes,Patched
VUL03273,CVE-2026-1750,Server-Side Request Forgery (SSRF),High,8.1,MKT-MOB-0017,Yes,Closed
VUL03274,CVE-2024-76740,Remote Code Execution,Medium,6.8,FIN-FW-0114,No,Won't Fix
VUL03275,CVE-2016-44154,Unpatched Software,High,7.4,OPS-MOB-0092,Yes,Closed
VUL03276,CVE-2019-33180,Weak Password Policy,Low,2.3,OPS-PRT-0071,Yes,Patched
VUL03277,CVE-2026-62996,Server-Side Request Forgery (SSRF),Medium,5.6,SAL-MOB-0097,Yes,In Progress
VUL03278,CVE-2016-50060,Server-Side Request Forgery (SSRF),Medium,5.9,MKT-FW-0112,No,Won't Fix
VUL03279,CVE-2023-17438,Path Traversal,High,7.5,SAL-IOT-0037,No,Open
VUL03280,CVE-2020-68178,Outdated SSL/TLS Configuration,Medium,5.7,ENG-MOB-0137,Yes,Closed
VUL03281,CVE-2019-13821,Path Traversal,High,8.2,HR-MOB-0054,Yes,In Progress
VUL03282,CVE-2022-30765,Security Misconfiguration,High,7.5,FIN-DB-0022,Yes,Closed
VUL03283,CVE-2020-54795,Unpatched Software,Low,0.2,MKT-IOT-0017,No,Won't Fix
VUL03284,CVE-2019-90377,Remote Code Execution,Low,3.3,MKT-RTR-0094,No,In Progress
VUL03285,CVE-2017-89396,Privilege Escalation,Medium,4.1,ENG-FW-0013,No,Open
VUL03286,CVE-2015-69237,XML External Entity (XXE),Medium,6.5,HR-PC-0080,Yes,Patched
VUL03287,CVE-2017-44469,Server-Side Request Forgery (SSRF),High,7.6,LEG-RTR-0117,No,Open
VUL03288,CVE-2024-93474,Open Redirect,High,8.3,FIN-SW-0033,No,Open
VUL03289,CVE-2023-48031,Command Injection,Low,1.0,SAL-MOB-0124,Yes,Closed
VUL03290,CVE-2024-75996,Buffer Overflow,Low,1.3,IT-DB-0037,Yes,Closed
VUL03291,CVE-2026-31602,Server-Side Request Forgery (SSRF),Low,1.0,SAL-DB-0010,Yes,Patched
VUL03292,CVE-2019-89350,Cross-Site Scripting (XSS),Medium,5.1,IT-RTR-0054,Yes,Closed
VUL03293,CVE-2026-89073,Outdated SSL/TLS Configuration,Low,2.2,SAL-MOB-0110,Yes,In Progress
VUL03294,CVE-2021-81856,Privilege Escalation,Low,1.5,HR-PRT-0085,No,Open
VUL03295,CVE-2020-41223,Buffer Overflow,Medium,4.7,LEG-PRT-0075,No,Won't Fix
VUL03296,CVE-2022-81722,Privilege Escalation,Low,0.6,OPS-MOB-0024,No,In Progress
VUL03297,CVE-2015-91145,Remote Code Execution,Medium,4.8,ENG-PRT-0047,Yes,Closed
VUL03298,CVE-2020-17220,Server-Side Request Forgery (SSRF),High,8.5,FIN-PC-0056,No,Open
VUL03299,CVE-2016-12338,Server-Side Request Forgery (SSRF),High,8.3,MKT-SRV-0007,Yes,Patched
VUL03300,CVE-2017-11686,Server-Side Request Forgery (SSRF),Critical,9.9,ENG-MOB-0132,Yes,Closed
VUL03301,CVE-2023-13507,Remote Code Execution,Low,0.2,SAL-PRT-0070,No,In Progress
VUL03302,CVE-2018-77617,Sensitive Data Exposure,Medium,5.8,SAL-PRT-0047,No,Won't Fix
VUL03303,CVE-2023-70438,Sensitive Data Exposure,Medium,5.9,FIN-FW-0024,No,In Progress
VUL03304,CVE-2024-21042,Outdated SSL/TLS Configuration,Medium,4.8,SAL-PRT-0075,Yes,Patched
VUL03305,CVE-2026-89031,Open Redirect,Low,1.7,ENG-MOB-0064,Yes,In Progress
VUL03306,CVE-2020-8596,Sensitive Data Exposure,Low,2.9,MKT-LAP-0031,Yes,Closed
VUL03307,CVE-2020-64899,Insecure Deserialization,Critical,9.3,FIN-PC-0069,Yes,Closed
VUL03308,CVE-2021-84533,Buffer Overflow,Low,0.2,MKT-SW-0065,Yes,In Progress
VUL03309,CVE-2016-22396,Outdated SSL/TLS Configuration,Low,2.4,HR-PRT-0101,Yes,Patched
VUL03310,CVE-2024-2503,Open Redirect,Low,0.7,MKT-LAP-0039,No,Won't Fix
VUL03311,CVE-2016-2566,Command Injection,Critical,9.9,MKT-PRT-0026,No,Open
VUL03312,CVE-2019-35296,Command Injection,Medium,5.7,MKT-SRV-0068,Yes,Closed
VUL03313,CVE-2015-56005,XML External Entity (XXE),Low,3.5,FIN-DB-0073,No,Won't Fix
VUL03314,CVE-2025-99399,Path Traversal,Medium,5.8,IT-PC-0071,Yes,In Progress
VUL03315,CVE-2019-82080,Insecure Direct Object Reference,High,7.5,IT-PC-0099,Yes,In Progress
VUL03316,CVE-2019-13778,Unpatched Software,High,8.1,SAL-SW-0101,Yes,In Progress
VUL03317,CVE-2016-20231,Security Misconfiguration,High,8.5,HR-LAP-0059,Yes,Closed
VUL03318,CVE-2022-89988,Privilege Escalation,Low,0.5,OPS-MOB-0011,No,Open
VUL03319,CVE-2026-91029,Insecure Deserialization,Medium,5.8,SAL-MOB-0007,No,Open
VUL03320,CVE-2019-7553,Sensitive Data Exposure,High,7.4,MKT-DB-0090,No,Open
VUL03321,CVE-2016-82987,Path Traversal,Medium,5.2,ENG-LAP-0050,No,In Progress
VUL03322,CVE-2021-77629,Broken Authentication,High,8.5,SAL-RTR-0005,Yes,Patched
VUL03323,CVE-2025-29973,Path Traversal,Low,2.9,OPS-SRV-0022,Yes,Closed
VUL03324,CVE-2015-6037,Insecure Direct Object Reference,High,7.5,FIN-LAP-0027,Yes,In Progress
VUL03325,CVE-2022-67784,Privilege Escalation,Low,3.4,HR-SW-0082,Yes,Closed
VUL03326,CVE-2015-78067,Server-Side Request Forgery (SSRF),Critical,9.4,OPS-LAP-0051,No,In Progress
VUL03327,CVE-2020-41510,Open Redirect,High,8.2,ENG-FW-0031,Yes,Patched
VUL03328,CVE-2023-54559,Insecure Direct Object Reference,Medium,4.8,IT-FW-0011,Yes,Patched
VUL03329,CVE-2021-96001,Weak Password Policy,Low,0.2,SAL-DB-0096,Yes,Closed
VUL03330,CVE-2022-67771,Outdated SSL/TLS Configuration,High,8.9,OPS-FW-0069,No,Won't Fix
VUL03331,CVE-2020-12819,Buffer Overflow,High,7.1,OPS-IOT-0035,Yes,Patched
VUL03332,CVE-2019-15888,Broken Authentication,High,7.7,IT-MOB-0009,Yes,Closed
VUL03333,CVE-2016-34195,Cross-Site Scripting (XSS),Low,0.6,SAL-SW-0055,Yes,In Progress
VUL03334,CVE-2015-67033,Open Redirect,Medium,5.8,HR-FW-0077,No,In Progress
